DATE,TAVG
1870,53.8
1871,51.3
1872,51.3
1873,50.9
1874,51.3
1875,49.4
1876,51.9
1877,52.8
1878,53.6
1879,52.1
1880,52.9
1881,52.2
1882,51.7
1883,50.2
1884,52.2
1885,50.6
1886,51.3
1887,50.9
1888,49.4
1889,52.8
1890,53.0
1891,54.1
1892,52.2
1893,50.7
1894,52.9
1895,53.0
1896,53.6
1897,53.6
1898,55.1
1899,53.9
1900,54.2
1901,52.4
1902,53.0
1903,53.0
1904,50.9
1905,53.4
1906,55.0
1907,52.9
1908,55.0
1909,53.7
1910,53.5
1911,53.4
1912,52.7
1913,54.9
1914,51.9
1915,53.4
1916,52.2
1917,50.7
1918,53.1
1919,53.8
1920,52.2
1921,54.8
1922,53.5
1923,52.8
1924,51.9
1925,53.4
1926,51.2
1927,53.4
1928,53.5
1929,54.1
1930,54.5
1931,54.9
1932,54.0
1933,53.7
1934,54.6
1935,51.9
1936,54.9
1937,54.0
1938,53.7
1939,54.6
1940,54.1
1941,55.3
1942,53.7
1943,54.0
1944,56.9
1945,53.6
1946,54.9
1947,55.8
1948,57.0
1949,54.9
1950,54.6
1951,53.5
1952,55.4
1953,52.5
1954,55.4
1955,54.0
1956,55.0
1957,53.4
1958,53.5
1959,54.2
1960,55.0
1961,52.9
1962,54.0
1963,54.8
1964,54.2
1965,55.2
1966,53.8
1967,56.0
1968,54.7
1969,54.9
1970,53.3
1971,54.3
1972,52.9
1973,55.7
1974,54.9
1975,55.2
1976,54.8
1977,56.0
1978,55.4
1979,55.5
1980,55.2
1981,55.1
1982,54.8
1983,56.0
1984,55.4
1985,55.5
1986,55.2
1987,55.1
1988,54.8
1989,53.9
1990,57.2
1991,57.2
1992,53.9
1993,55.5
1994,55.2
1995,55.3
1996,53.7
1997,54.3
1998,57.1
1999,56.5
2000,53.8
2001,56.2
2002,56.4
2003,53.4
2004,54.5
2005,55.7
2006,56.8
2007,55.0
2008,55.3
2009,54.0
2010,56.7
2011,56.4
2012,57.3
2013,55.3
2014,54.4
2015,56.7
2016,57.2
